K_share,D_share,AI_share,H_share,K,D,AI,H,gdp_gain,inclusion,green_score,data_security,risk_index
0.10000008632387387,0.10013185361067775,0.6998645804426034,0.10000347962284506,8000.00690590991,8010.54828885422,55989.16643540827,8000.278369827604,97836.72837296159,41363.164598534466,47202.91137246,54078.68718003751,0.3139715190599502
0.10000008632387387,0.10000484293442972,0.6998802054904343,0.10011486525126212,8000.00690590991,8000.387434754378,55990.416439234745,8009.18922010097,97836.4796145904,41367.09180559427,47202.217437415915,54078.48074648575,0.31393008981814957
0.10000038099325026,0.10083345406098002,0.6900862091033637,0.10907995584240604,8000.030479460021,8066.676324878401,55206.896728269094,8726.396467392484,97551.21212192526,41930.72855262204,47385.070747271435,53955.76443362619,0.3083852366241153
0.10101559707171553,0.10013185361067775,0.6864940230452654,0.11235852627234133,8081.247765737243,8010.54828885422,54919.52184362123,8988.682101787306,97422.2744762401,42108.66457463593,47422.120144828,53891.295873386116,0.30629445827581364
0.10001675523219508,0.10013185361067775,0.6751426463660775,0.12470874479104976,8001.340418575606,8010.54828885422,54011.4117092862,9976.69958328398,97104.65241638332,42865.15137487472,47657.3549002884,53761.97972132484,0.2991440260428639
0.10000320509174868,0.10931573706793868,0.6616354644824625,0.12904559335785015,8000.256407339894,8745.258965435094,52930.837158596994,10323.647468628013,96756.51890257317,43334.62663796532,47935.63319771793,53618.69302252494,0.2947086632478475
0.10000100842581752,0.10243622892116129,0.6505098342141217,0.1470529284388995,8000.080674065402,8194.898313692904,52040.78673712973,11764.23427511196,96388.71541966147,44275.38392973452,48118.3883605663,53454.305675675394,0.28528073496171547
0.10000140544119251,0.1135811559607644,0.644107918666823,0.1423095199312201,8000.112435295401,9086.492476861153,51528.63349334584,11384.761594497608,96261.62300580031,44236.62883486862,48271.83689195743,53408.018570950706,0.285897691434405
0.10000099425151579,0.1524608466946022,0.6308166233039847,0.1167215357498973,8000.079540121264,12196.867735568176,50465.32986431877,9337.722859991783,96085.93449705982,43551.78677174435,48640.82259238939,53362.31157968948,0.293474650705747
0.10000128666733268,0.10576250857235092,0.6368370079619945,0.15739919679832193,8000.1029333866145,8461.000685788074,50946.96063695956,12591.935743865753,96002.62180900128,44978.94415202157,48380.60511291325,53289.93314266773,0.27840764567303017
