episode,reward
1,1151.0
2,1160.7500000000002
3,1142.85
4,1139.7
5,1172.7500000000002
6,1175.5000000000002
7,1144.65
8,1173.15
9,1139.8
10,1163.8
11,1177.3999999999999
12,1142.5500000000002
13,1128.15
14,1142.45
15,1129.8000000000002
16,1159.0
17,1192.3999999999999
18,1178.6000000000001
19,1175.9
20,1144.25
21,1206.95
22,1150.2
23,1170.6000000000001
24,1116.8500000000001
25,1186.3500000000001
26,1123.0500000000002
27,1149.0000000000002
28,1144.15
29,1202.75
30,1174.6999999999998
31,1161.3500000000001
32,1168.5000000000002
33,1150.65
34,1136.4500000000003
35,1149.05
36,1149.25
37,1160.1000000000001
38,1191.2
39,1183.15
40,1197.2000000000003
41,1150.8000000000002
42,1202.8500000000001
43,1138.0500000000002
44,1148.0500000000002
45,1166.3
46,1187.8500000000001
47,1134.1499999999999
48,1178.2500000000002
49,1153.3000000000002
50,1141.4
51,1137.85
52,1222.5500000000002
53,1142.45
54,1163.6
55,1200.7
56,1153.4
57,1129.4500000000003
58,1158.5
59,1117.2000000000003
60,1186.95
61,1248.5500000000002
62,1200.65
63,1173.5
64,1126.8000000000002
65,1147.6500000000003
66,1156.4
67,1130.0
68,1139.65
69,1152.55
70,1137.8000000000002
71,1171.9
72,1137.8000000000002
73,1156.4
74,1172.75
75,1181.3000000000002
76,1144.05
77,1202.6499999999999
78,1146.9499999999998
79,1174.7500000000002
80,1150.05
81,1219.8500000000001
82,1158.3999999999999
83,1174.5500000000002
84,1158.4499999999998
85,1161.7
86,1145.8000000000002
87,1143.1000000000001
88,1152.95
89,1131.9500000000003
90,1142.3500000000004
91,1190.45
92,1143.5500000000002
93,1199.0
94,1170.6000000000004
95,1147.1500000000003
96,1159.5000000000002
97,1148.65
98,1152.6000000000001
99,1187.8000000000002
100,1157.5000000000002
101,1154.0500000000002
102,1135.4500000000003
103,1149.9500000000003
104,1199.45
105,1228.8500000000001
106,1129.8
107,1163.5
108,1171.0
109,1149.7500000000002
110,1133.8500000000001
111,1148.8500000000001
112,1140.2500000000002
113,1161.4
114,1133.0
115,1186.2500000000002
116,1163.15
117,1133.0500000000002
118,1118.4499999999998
119,1120.4
120,1139.65
121,1163.6000000000001
122,1133.2000000000003
123,1142.45
124,1160.45
125,1217.3
126,1184.3999999999999
127,1243.8
128,1253.0
129,1155.0500000000002
130,1151.65
131,1178.4499999999998
132,1220.8000000000002
133,1228.1000000000001
134,1162.1499999999999
135,1197.0500000000002
136,1203.9
137,1155.2500000000002
138,1265.2500000000002
139,1217.3999999999999
140,1168.2000000000003
141,1206.6
142,1210.25
143,1239.2
144,1223.7999999999997
145,1303.8500000000001
146,1229.9
147,1210.4
148,1245.9
149,1254.4
150,1255.6000000000004
151,1301.15
152,1163.7
153,1224.75
154,1163.35
155,1292.3000000000002
156,1218.25
157,1166.65
158,1292.15
159,1186.25
160,1199.7
161,1292.15
162,1163.45
163,1272.8000000000002
164,1230.9
165,1229.5500000000002
166,1243.0
167,1216.3000000000002
168,1220.7
169,1220.6000000000004
170,1176.6
171,1294.6999999999998
172,1259.6499999999999
173,1254.05
174,1286.2000000000003
175,1247.2000000000003
176,1318.3000000000002
177,1274.8000000000002
178,1200.1999999999998
179,1203.8000000000002
180,1223.45
181,1304.7
182,1292.55
183,1160.2
184,1199.5000000000002
185,1274.1
186,1319.7
187,1331.1000000000004
188,1205.1
189,1336.55
190,1329.2000000000003
191,1327.65
